Year,Construction_A,Construction_D,Home_Application_A,Home_Application_D,Newsprint_A,Newsprint_D,Printing_Writing_A,Printing_Writing_D,Other_A,Other_D
1961,1313640482.0,2655.0,1995546768.0,91.0,54833721.0,11919814.0,156709749.0,14879547.0,17101229.0,366963.0
1962,2525277997.0,6863.0,3839775901.0,322.0,97828121.0,24542879.0,311307335.0,31510729.0,33399125.0,2151529.0
1963,3862300253.0,14015.0,5874443420.0,920.0,143674699.0,41047475.0,462021292.0,49888591.0,46698689.0,6766428.0
1964,5284503566.0,25770.0,8040882658.0,2399.0,172060030.0,57862384.0,593896715.0,68746447.0,54473033.0,13128672.0
1965,6778029385.0,44713.0,10319621280.0,5924.0,185999008.0,75442455.0,715644273.0,88889519.0,56602720.0,17839257.0
1966,8303547141.0,74688.0,12655595930.0,14041.0,185862627.0,93798078.0,828097134.0,110477877.0,54973594.0,17617759.0
1967,9812526389.0,121372.0,14967650343.0,32103.0,195887526.0,82376659.0,862053196.0,127036985.0,55530831.0,17790778.0
1968,11387955786.0,193314.0,17367027887.0,70963.0,183992637.0,83628195.0,885430965.0,144256533.0,55922382.0,17953835.0
1969,13006786444.0,302636.0,19832405704.0,151785.0,183971984.0,83320238.0,898047267.0,162130176.0,56001668.0,18053421.0
1970,14686544794.0,466603.0,22397158995.0,314293.0,189262938.0,84358452.0,905550682.0,181204044.0,55821023.0,18057616.0
1971,16446407812.0,709333.0,25075999064.0,630189.0,202403080.0,86773191.0,900293097.0,200833565.0,55653586.0,17976384.0
1972,18310961438.0,1064001.0,27935829285.0,1223877.0,223229632.0,90621990.0,910428988.0,186165421.0,56211596.0,17975086.0
1973,20255979015.0,1575409.0,30928208842.0,2302639.0,247991918.0,101087278.0,915191396.0,187016656.0,59184991.0,18385880.0
1974,22343447690.0,2303376.0,34121229854.0,4197893.0,292197545.0,115573780.0,969963555.0,191350053.0,63817458.0,19476240.0
1975,25062779650.0,3327158.0,38252865228.0,7417529.0,276973001.0,118570251.0,1052340120.0,199007383.0,70649129.0,21337057.0
1976,27877542794.0,4747166.0,42533067673.0,12706365.0,259826044.0,119214089.0,1133002364.0,206439789.0,78194916.0,23702221.0
1977,30827312468.0,6691544.0,47011362852.0,21107895.0,247671497.0,118299651.0,1214389945.0,213618927.0,85722765.0,26159627.0
1978,33916929010.0,9319869.0,51713371057.0,34015186.0,251340688.0,117670263.0,1314419614.0,230224860.0,93059031.0,28645168.0
1979,37150317648.0,12827435.0,56670735258.0,53194416.0,274142951.0,113548978.0,1450810221.0,251572438.0,103574152.0,31282717.0
1980,40405929638.0,17448687.0,61673010448.0,80761891.0,290593251.0,120267616.0,1564508718.0,272368638.0,115449740.0,34636524.0
1981,43493367277.0,23459871.0,66423744954.0,119096937.0,303804364.0,127928681.0,1688955992.0,295034690.0,128391206.0,38783130.0
1982,46720602111.0,31181241.0,71355229741.0,170680258.0,321092720.0,137132856.0,1801394945.0,318300251.0,141591040.0,43239464.0
1983,50169478946.0,40975382.0,76586287000.0,237860486.0,326563553.0,142107802.0,1920574037.0,344614439.0,154324532.0,47271765.0
1984,54035131823.0,53244673.0,82433757695.0,322569586.0,342084776.0,146742556.0,2061239775.0,370010771.0,166094571.0,51285046.0
1985,58031700301.0,68424504.0,88401378548.0,426026163.0,357468074.0,153113756.0,2246125879.0,398841579.0,178369046.0,55197666.0
1986,61944111323.0,86975273.0,94197185275.0,548480082.0,398546833.0,165893293.0,2526029421.0,439686807.0,465724476.0,87714261.0
1987,65847439106.0,109371293.0,100007314866.0,689055875.0,406241298.0,171123889.0,2843137990.0,488056733.0,786659697.0,170665105.0
1988,69777728307.0,136086308.0,105768727786.0,845743136.0,416171767.0,179449198.0,3240990600.0,546470031.0,1118912295.0,295986743.0
1989,73448611642.0,167576805.0,111044328745.0,1015558816.0,417344177.0,184100026.0,3672864296.0,608841896.0,1438660824.0,418660248.0
1990,76280691900.0,204264358.0,114971379906.0,1194873039.0,430390242.0,191088379.0,4116317602.0,679828961.0,1652962838.0,488791215.0
1991,78937110547.0,246520652.0,118602748292.0,1379854371.0,447056094.0,191756611.0,4578050281.0,757112267.0,1897691233.0,565681612.0
1992,81643695522.0,294648718.0,117748517687.0,1430106831.0,453425368.0,196777049.0,5025107434.0,840495489.0,2157874129.0,644898146.0
1993,84737967186.0,348869386.0,120890171551.0,1501212469.0,486500279.0,206682260.0,5341115945.0,916744253.0,2470466404.0,731772072.0
1994,87796196995.0,409308757.0,124636983105.0,1570103295.0,541080418.0,224716181.0,5671088271.0,997274551.0,2159828520.0,769781824.0
1995,90968556831.0,475993389.0,128388150532.0,1642847077.0,608552955.0,245716529.0,5879692132.0,1066533960.0,2484600674.0,769261379.0
1996,94304932393.0,548847615.0,132981521942.0,1722788656.0,656890116.0,266154593.0,6035167615.0,1123219202.0,3126206950.0,827202708.0
1997,97302584506.0,627695780.0,137360359709.0,1815589207.0,786359234.0,311499344.0,6576269906.0,1214485599.0,4100658328.0,1066812306.0
